,Unnamed: 0,category,headline,authors,link,short descr,date,labelexplain,VizEntailment,image_caption(s),image_link(s),OFAcaption,Headline,Short_descr,Image_Caption(s),OFACAPTION,headlineandshortdescr,shortdescrncaption,headlineandcaption,headlineandOFA,shortdescrandOFA,actualcaptionandOFA
33,33,SPORTS,NFL Bans Kneeling During The National Anthem,Ron Dicker,https://www.huffingtonpost.com/entry/nfl-penalty-kneeling-national-anthem_us_5b052eb7e4b05f0fc8431d64,Teams can set their own policies for punishing players.,2018-05-23,,E,"Colin Kaepernick, center, protesting with fellow players Eli Harold (left) and Eric Reid (right) in December 2016.",https://img.huffingtonpost.com/asset/5b052f8c2000006505b9250b.jpeg?cache=sIWMvI28or&ops=scalefit_720_noupscale,several football players kneel down and pose for a picture with their teammates,0.045958325,4.6154502E-05,0.9533668,0.000628693,"('entailment', ' 0.37%')","('contradiction', ' 0.64%')","('contradiction', ' 0.60%')","('contradiction', ' 0.65%')","('contradiction', ' 0.65%')","('contradiction', ' 0.67%')"
34,34,POLITICS,House Republicans Report Progress On An Immigration Deal,Matt Fuller and Elise Foley,https://www.huffingtonpost.com/entry/house-republicans-report-progress-immigration-deal_us_5b05d923e4b07c4ea1049116,But they might need a reality check.,2018-05-23,,N,Rep. Jeff Denham said he was hopeful that Republicans could come up with the outlines of an immigration deal as soon as Thursday.,https://img.huffingtonpost.com/asset/5b05da611e0000bf048e66ab.jpeg?ops=scalefit_720_noupscale,a man in a suit and tie walking down a hallway,0.56979114,2.3896382E-05,0.38477448,0.045410447,"('neutral', ' 0.40%')","('neutral', ' 0.95%')","('neutral', ' 0.95%')","('contradiction', ' 0.63%')","('contradiction', ' 0.55%')","('contradiction', ' 0.64%')"
35,35,POLITICS,Democrats Push To Be Included In Classified Briefing On FBI Informant,Igor Bobic,https://www.huffingtonpost.com/entry/democrats-push-included-classified-briefing-fbi-informant_us_5b058d4fe4b07c4ea1042f94,The top Democratic leaders warned a Republicans-only meeting would set a bad precedent for the Justice Department.,2018-05-23,,N,Sen. Chuck Schumer and Rep. Nancy Pelosi said the Justice Department shouldn't be sharing sensitive documents only with Republicans.,https://img.huffingtonpost.com/asset/5b0596701a0000cd04cdf8f7.jpeg?ops=scalefit_720_noupscale,a man and a woman talking into a microphone,0.104485266,0.023008516,0.87227184,0.00023440509,"('neutral', ' 0.80%')","('contradiction', ' 0.75%')","('contradiction', ' 0.80%')","('contradiction', ' 0.60%')","('contradiction', ' 0.71%')","('contradiction', ' 0.79%')"
36,36,POLITICS,"Trump Praises Tomi Lahren After Restaurant Crowd Tosses Water, Insults",Nina Golgowski,https://www.huffingtonpost.com/entry/trump-praises-tomi-lahren-after-restaurant-crowd-tosses-water-insults_us_5b055b44e4b07c4ea103a899,The president hailed the Fox News pundit as a “respected young woman.”,2018-05-23,,N,Fox News contributor Tomi Lahren was filmed getting yelled at by a crowd at a restaurant in Minneapolis over the weekend.,https://img.huffingtonpost.com/asset/5b056039200000f202b92563.jpeg?cache=sZxeu7QvXq&ops=crop_0_202_2753_2854%2Cscalefit_720_noupscale,a woman with long blonde hair wearing a pink dress and a gold necklace,0.31817925,0.0009875353,0.67986363,0.00096962857,"('neutral', ' 0.52%')","('contradiction', ' 0.95%')","('neutral', ' 0.64%')","('contradiction', ' 0.67%')","('contradiction', ' 0.59%')","('contradiction', ' 0.63%')"
37,37,POLITICS,A Mostly Non-Christian Militia Won 2 Of Iraqi Christians' Parliamentary Seats. Now Christians Want Trump To Intervene.,Akbar Shahid Ahmed,https://www.huffingtonpost.com/entry/iraq-parliament-christians-badr-organization_us_5b05dfd0e4b07c4ea104961f,The Babylon Brigade is led by a Christian but is tied to the brutal Iranian-backed Muslim paramilitary Badr Organization.,2018-05-23,"(the first line of the caption entails the picture however, the second does not so it should be neutral because the second part is longer than the first",E,"An Easter celebration in Baghdad last year. Candidates from the Babylon Brigade won two of the five seats reserved for Iraq’s Christians in the country’s parliamentary elections in May, and the group’s ties to an Iranian-backed armed group has some Iraqi Christians concerned.",https://img.huffingtonpost.com/asset/5b05e1ab2000006505b92653.jpeg?cache=fUcuzOmbhK&ops=scalefit_720_noupscale,a woman singing in a church with a cross,0.09974436,0.00041533227,0.82861376,0.07122659,"('contradiction', ' 0.59%')","('neutral', ' 0.61%')","('neutral', ' 0.59%')","('contradiction', ' 0.80%')","('contradiction', ' 0.62%')","('contradiction', ' 0.71%')"
38,38,POLITICS,Tulsi Gabbard's Syria Views Cost Her Support Of Hawaii Teachers Union,Amanda Terkel,https://www.huffingtonpost.com/entry/tulsi-gabbard-syria_us_5b057ab8e4b0784cd2b0653d,The state's fourth-largest union had backed the Democratic congresswoman two years ago.,2018-05-23,,N,Rep. Tulsi Gabbard (D-Hawaii) has alienated some Democrats with her comments about Syrian President Bashar Assad.,https://img.huffingtonpost.com/asset/5b057b6b200000f202b925a2.jpeg?ops=crop_0_88_5158_3115%2Cscalefit_720_noupscale,a woman sitting at a desk in a courtroom,0.3683312,0.0015613402,0.630083,2.444818E-05,"('contradiction', ' 0.52%')","('contradiction', ' 0.70%')","('neutral', ' 0.67%')","('contradiction', ' 0.54%')","('contradiction', ' 0.61%')","('contradiction', ' 0.63%')"
39,39,POLITICS,Senators Unveil Bill To Crack Down On Their Sexual Harassment,Jennifer Bendery,https://www.huffingtonpost.com/entry/senators-reach-bipartisan-deal-sexual-harassment_us_5b0452cfe4b0740c25e5ecc6,"It would require lawmakers to pay out of pocket for their misconduct, which some Republicans fought for months.",2018-05-23,,E,"It took months, but Sens. Amy Klobuchar (D-Minn.) and Roy Blunt (R-Mo.) have hashed out a deal to require lawmakers to pay out-of-pocket for sexual harassment settlements.",https://img.huffingtonpost.com/asset/5b04b4361a00002700cdf7c8.jpeg?ops=scalefit_720_noupscale,a man and a woman looking at a computer screen,0.00014061623,7.0305896E-06,0.9998437,8.624399E-06,"('neutral', ' 0.52%')","('neutral', ' 0.78%')","('neutral', ' 0.79%')","('contradiction', ' 0.53%')","('contradiction', ' 0.67%')","('contradiction', ' 0.60%')"
40,40,ENTERTAINMENT,Vanessa Bayer Feared Doing The 'Porn Stars' Skit With Donald Trump On 'SNL',Lee Moran,https://www.huffingtonpost.com/entry/vanessa-bayer-donald-trump-porn-snl_us_5b03d2d9e4b07309e05bacd2,Trump is accused of having an affair with former porn star Stormy Daniels in 2006.,2018-05-22,,E,"Donald Trump starred alongside Vanessa Bayer and Cecily Strong in the ""Porn Stars"" sketch on ""Saturday Night Live"" in 2015.",https://img.huffingtonpost.com/asset/5b03d4c31a0000c504cdf68f.jpeg?cache=87LQPRBb5M&ops=crop_571_6_2229_1994%2Cscalefit_720_noupscale,three women standing next to a man in a suit and tie,0.020733763,6.687392E-05,0.9791966,2.7696035E-06,"('neutral', ' 0.71%')","('neutral', ' 0.89%')","('neutral', ' 0.83%')","('contradiction', ' 0.76%')","('contradiction', ' 0.69%')","('contradiction', ' 0.78%')"
41,41,POLITICS,Shoppers Boycott Publix Over Store's Donations To NRA-Backed Candidate,Nina Golgowski,https://www.huffingtonpost.com/entry/publix-boycott-putnam-donations_us_5b040d5ce4b0463cdba5febe,"Adam Putnam, a self-described ""NRA sellout"" running for Florida governor, received $670,000 from the company.",2018-05-22,,N,"Publix, which has over 1,000 stores across the southeast, has donated more than a half a million dollars to gubernatorial candidate and current agricultural commissioner Adam Putnam.",https://img.huffingtonpost.com/asset/5b0440851a0000c504cdf749.jpeg?ops=scalefit_720_noupscale,a publix store is lit up at night,0.0061669643,2.923536E-08,0.36487672,0.6289563,"('neutral', ' 0.70%')","('neutral', ' 0.82%')","('neutral', ' 0.66%')","('contradiction', ' 0.80%')","('contradiction', ' 0.85%')","('contradiction', ' 0.85%')"
42,42,ENTERTAINMENT,"Sorry, Ben Affleck, Make Way For Justin Theroux's Giant Rat Tattoo",Cole Delbyck,https://www.huffingtonpost.com/entry/ben-affleck-justin-theroux-back-tattoos_us_5b02e29be4b0a046186e6821,Ther-oh-my-God!,2018-05-21,,E,"Justin Theroux shooting “Getting Curious With Jonathan Van Ness Live” at the Vulture Festival in New York City, May 20.",https://img.huffingtonpost.com/asset/5b02f22d2000004200b922a9.jpeg?ops=scalefit_720_noupscale,a man sitting in a chair holding a microphone,0.019050708,2.2651498E-07,0.9802304,0.0007185953,"('contradiction', ' 0.54%')","('contradiction', ' 0.80%')","('contradiction', ' 0.57%')","('contradiction', ' 0.56%')","('contradiction', ' 0.63%')","('contradiction', ' 0.75%')"
43,43,CRIME,"'This Isn’t Pakistan, Bitch': Video Captures Driver’s Racist Rant",Rowaida Abdelaziz,https://www.huffingtonpost.com/entry/this-isnt-pakistan-video-racist_us_5b02db07e4b07309e05ac472,A case of road rage in Texas quickly escalated into a hateful and xenophobic diatribe.,2018-05-21,,N,"Ali Alghamdi, pictured, quickly realized that his run-in with an angry driver wasn't just a regular case of road rage; it was an incident motivated by hate.",https://img.huffingtonpost.com/asset/5b031fa81e0000bf048e6310.jpeg?ops=scalefit_720_noupscale,a man wearing a suit and a white shirt,3.238892E-05,0.00071120326,0.8661429,0.13311341,"('neutral', ' 0.50%')","('neutral', ' 0.78%')","('neutral', ' 0.76%')","('contradiction', ' 0.73%')","('contradiction', ' 0.71%')","('contradiction', ' 0.63%')"
44,44,ENTERTAINMENT,"Kathryn Newton, The Boldest Teen On TV, Is Ready To Grow Up",Leigh Blickley,https://www.huffingtonpost.com/entry/kathryn-newton-interview_us_5afc3373e4b06a3fb50c818b,"She's famous for playing so-and-so's teenage daughter. But 17 years into her career, Newton is anxious for a change.",2018-05-20,,E,"Kathryn Newton, Laura Dern, Nicole Kidman, Shailene Woodley, Zoe Kravitz, Reese Witherspoon, writer/Executive producer David E. Kelley and director/executive producer Jean-Marc Vallee at the premiere of HBO's ""Big Little Lies"" in February 2017.",https://img.huffingtonpost.com/asset/5afca5ed1e00007d038e5ba1.jpeg?ops=scalefit_1280_noupscale,the cast of tv programme at the premiere,9.0343093E-07,4.874481E-07,0.99900717,0.000991479,"('neutral', ' 0.81%')","('contradiction', ' 0.60%')","('neutral', ' 0.54%')","('contradiction', ' 0.71%')","('contradiction', ' 0.57%')","('contradiction', ' 0.82%')"
45,45,ENTERTAINMENT,The Artist Formerly Known As Cedric The Entertainer Has Arrived,Matthew Jacobs,https://www.huffingtonpost.com/entry/artist-formerly-known-as-cedric-the-entertainer_us_5afc5bb2e4b0779345d516d3,"He'll always be a king of comedy, but what Cedric Kyles really wants to be is a dramatic actor.",2018-05-19,,N,"Cedric the Entertainer, real name Cedric Kyles, told HuffPost that his role in the new film ""First Reformed"" is ""the opportunity for me to say I’m the more dramatic character now.""",https://img.huffingtonpost.com/asset/5afca968200000f202b91b4b.jpeg?cache=ONbFGQDZ68&ops=scalefit_1280_noupscale,a black and white photo of a man wearing a hat and glasses,0.22970048,0.0013325356,0.7681132,0.00085380743,"('neutral', ' 0.74%')","('neutral', ' 0.92%')","('neutral', ' 0.90%')","('contradiction', ' 0.71%')","('contradiction', ' 0.56%')","('contradiction', ' 0.51%')"
46,46,ENTERTAINMENT,How Did Smallville's Allison Mack Get Involved With A Sex Cult In The First Place?,"Taryn Ryder, Yahoo Entertainment",https://www.huffingtonpost.com/entry/how-did-smallvilles-allison-mack-get-involved-with-a-sex-cult-in-the-first-place_us_5aff3222e4b0a046186b7fbb,"It started in late 2006, when she attended a two-day introduction to Jness in Vancouver.",2018-05-18,,E,"Allison Mack arrives at the United States Eastern District Court for a hearing in relation to the sex-trafficking charges filed against her on May 4, 2018, in New York City.",https://img.huffingtonpost.com/asset/5aff38151a0000c504cdf225.jpeg?cache=jukkEfKSuF&ops=scalefit_720_noupscale,two men and a woman walking down the street with umbrellas,0.00016900778,0.00048654864,0.98818576,0.011158648,"('neutral', ' 0.62%')","('contradiction', ' 0.79%')","('neutral', ' 0.77%')","('contradiction', ' 0.76%')","('contradiction', ' 0.63%')","('contradiction', ' 0.69%')"
47,47,ENTERTAINMENT,Photo Of Daniel Radcliffe Holding Guns In Crazy Slippers Becomes A Magical Meme,Elyse Wanshel,https://www.huffingtonpost.com/entry/daniel-radcliffe-holding-two-guns-in-crazy-slippers-created-a-magical-meme_us_5afed3aee4b07309e057590f,"As the actor filmed a scene for an upcoming movie, all Twitter could see was Harry Potter.",2018-05-18,,E,"Daniel Radcliffe looking menacing while shooting guns and wearing tiger feet onset of ""Guns Akimbo"" in Auckland, New Zealand on May 6.",https://img.huffingtonpost.com/asset/5afee48f1e000043008e5ecd.jpeg?cache=b8HHvQ4EJ2&ops=scalefit_720_noupscale,a man in a poncho holding a gun and standing on a wet floor,0.8905421,0.010331758,0.09900698,0.00011911428,"('neutral', ' 0.82%')","('contradiction', ' 0.96%')","('contradiction', ' 0.50%')","('contradiction', ' 0.42%')","('contradiction', ' 0.66%')","('contradiction', ' 0.76%')"
48,48,ENTERTAINMENT,Serena Williams Explains Why Her Father Didn't Walk Her Down The Aisle,Jenna Amatulli,https://www.huffingtonpost.com/entry/serena-williams-explains-why-her-father-didnt-walk-her-down-the-aisle_us_5afd7db9e4b06a3fb50e469e,"“Maybe a lot of daughters wouldn’t react the same way, but I know the struggles he’s had these last few years.""",2018-05-17,,E,"Serena Williams hugs her father, Richard Williams, after winning her Ladies Singles Final match at the 2012 Wimbledon Tennis Championships in London.",https://img.huffingtonpost.com/asset/5afd838e1a0000c704cdef85.jpeg?ops=scalefit_720_noupscale,a man and a woman standing next to each other,0.17010105,2.406594E-06,0.8298958,7.464585E-07,"('neutral', ' 0.51%')","('contradiction', ' 0.62%')","('neutral', ' 0.55%')","('contradiction', ' 0.85%')","('contradiction', ' 0.83%')","('contradiction', ' 0.85%')"
49,49,ENTERTAINMENT,Backstreet Boys Release New Song 'Don't Go Breaking My Heart',Ron Dicker,https://www.huffingtonpost.com/entry/backstreet-boys-release-new-song-dont-go-breaking-my-heart_us_5afd449de4b0779345d6220e,They're back (alright!) even though they never really left.,2018-05-17,,E,"Nick Carter, Brian Littrell, AJ McLean, Howie Dorough and Kevin Richardson of the Backstreet Boys performing in December.",https://img.huffingtonpost.com/asset/5afd4fac200000f202b91c16.jpeg?ops=scalefit_720_noupscale,a group of men singing on a stage,0.6194629,6.7376436E-06,0.37944224,0.0010881646,"('contradiction', ' 0.59%')","('contradiction', ' 0.55%')","('neutral', ' 0.55%')","('contradiction', ' 0.77%')","('contradiction', ' 0.71%')","('contradiction', ' 0.72%')"
50,50,WOMEN,The Miss America Pageant Is Now Headed By Women After Email Scandal,Nina Golgowski,https://www.huffingtonpost.com/entry/miss-america-headed-by-women_us_5afdc827e4b0779345d72cec,The appointments of former pageant winners follow male board members abruptly resigning in December.,2018-05-17,,E,"Miss North Dakota 2017, Cara Mund, is crowned as Miss America 2018 in September. For the first time in the Miss America pageant's history, its leadership teams will be headed entirely by women.",https://img.huffingtonpost.com/asset/5afddb451e00002c008e5da6.jpeg?cache=swabo2Q7Ok&ops=scalefit_720_noupscale,a woman in a dress with a crown on her head,0.28315935,0.0019340769,0.7149023,4.338175E-06,"('neutral', ' 0.57%')","('neutral', ' 0.62%')","('neutral', ' 0.71%')","('contradiction', ' 0.74%')","('contradiction', ' 0.75%')","('contradiction', ' 0.84%')"
51,51,CRIME,Manhattan District Attorney Vows To Stop Prosecuting Minor Marijuana Cases,Carla Herreria,https://www.huffingtonpost.com/entry/manhattan-da-stops-prosecuting-low-level-marijuana-cases_us_5afb616be4b0a59b4dfe7cd4,"“The dual mission of the Manhattan D.A.’s Office is a safer New York and a more equal justice system,” said District Attorney Cyrus Vance Jr.",2018-05-16,,N,District Attorney Cyrus Vance Jr. is working with Mayor Bill de Blasio on overhauling the way they people arrested on minor marijuana charges.,https://img.huffingtonpost.com/asset/5afbb6082000004100b919a8.jpeg?cache=e4s3Q0goSJ&ops=scalefit_720_noupscale,a person holding a piece of marijuana in their hand,0.76632905,0.00018809355,0.112147495,0.121335305,"('neutral', ' 0.76%')","('neutral', ' 0.89%')","('neutral', ' 0.82%')","('contradiction', ' 0.69%')","('contradiction', ' 0.81%')","('contradiction', ' 0.73%')"
52,52,ENTERTAINMENT,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Cole Delbyck,https://www.huffingtonpost.com/entry/kylie-jenner-ex-bodyguard-tim-chung-denies-stormi-father_us_5af9851fe4b032b10bfcdc2f,"Cease and desist, social media sleuths.",2018-05-14,,N,Kylie Jenner and Travis Scott attends Heavenly Bodies: Fashion & The Catholic Imagination Costume Institute Gala at Metropolitan Museum of Art.,https://img.huffingtonpost.com/asset/5af9910f1e00002c008e56dc.jpeg?ops=scalefit_720_noupscale,actors on the carpet at awards,3.8963168E-05,2.1552971E-07,0.9999459,1.4928895E-05,"('contradiction', ' 0.96%')","('contradiction', ' 0.83%')","('contradiction', ' 0.83%')","('contradiction', ' 0.70%')","('contradiction', ' 0.61%')","('contradiction', ' 0.72%')"
53,53,WOMEN,Southern Baptist Leader Apologizes For Past 'Hurtful' Comments About Women,Carol Kuruvilla,https://www.huffingtonpost.com/entry/southern-baptist-leader-apologizes_us_5af60055e4b032b10bfaa8b0,Paige Patterson's remarks about women and abuse have been causing division in Southern Baptist circles.,2018-05-12,,E,"Paige Patterson, president of Southwestern Baptist Theological Seminary, is a leading figure among Southern Baptists.",https://img.huffingtonpost.com/asset/5af62d1b200000f202b9142c.jpeg?cache=G5Lwl3JW6a&ops=crop_0_310_586_465%2Cscalefit_720_noupscale,a black and white photo of a man with a black hat,0.008332913,0.76163113,0.2270702,0.002965728,"('neutral', ' 0.84%')","('neutral', ' 0.93%')","('neutral', ' 0.86%')","('contradiction', ' 0.68%')","('contradiction', ' 0.70%')","('contradiction', ' 0.64%')"
54,54,WOMEN,82 Women Take To Cannes Red Carpet To Protest Inequality In Film,Hilary Hanson,https://www.huffingtonpost.com/entry/82-women-cannes-protest-ineqaulity_us_5af72bd6e4b032b10bfb335e,"“Women are not a minority in the world, yet the current state of the industry says otherwise,” said Cate Blanchett.",2018-05-12,,E,"The 82 women, led by Cate Blanchett, stand in protest on the steps of the Palais des Festivals at Cannes on Saturday.",https://img.huffingtonpost.com/asset/5af72d601a00002700cde803.jpeg?cache=cew2dJ56M1&ops=scalefit_720_noupscale,actors and actresses on the red carpet at the cannes film festival,0.9797457,5.230013E-06,0.018618831,0.0016302066,"('contradiction', ' 0.86%')","('contradiction', ' 0.91%')","('contradiction', ' 0.58%')","('contradiction', ' 0.92%')","('contradiction', ' 0.82%')","('contradiction', ' 0.90%')"
55,55,CRIME,Accused Golden State Killer Faces Four Additional Murder Counts,David Lohr,https://www.huffingtonpost.com/entry/four-additional-murder-counts-filed-in-golden-state-killer-case_us_5af5ed9de4b00d7e4c1a801c,Joseph James DeAngelo has now been charged in a dozen homicides.,2018-05-11,,E,Joseph James DeAngelo has been charged in connection with all 12 killings attributed to the Golden State Killer.,https://img.huffingtonpost.com/asset/5af5ef121a00009703cde745.jpeg?cache=Anh3j1rZXt&ops=crop_702_690_1654_1307%2Cscalefit_720_noupscale,a man in an orange prison uniform sitting at a table,0.21159329,0.0013802515,0.7864838,0.00054261426,"('neutral', ' 0.71%')","('neutral', ' 0.96%')","('neutral', ' 0.78%')","('contradiction', ' 0.52%')","('contradiction', ' 0.59%')","('contradiction', ' 0.61%')"
56,56,CRIME,Nurse Charged In Death Of Ex-Trump Adviser H.R. McMaster's Father,Nina Golgowski,https://www.huffingtonpost.com/entry/nurse-charged-in-mcmaster-death_us_5af49710e4b032b10bf8bd53,Christann Shyvin Gainey was arrested after the 84-year-old died of a head injury at a nursing home last month.,2018-05-10,,N,"The father of former White House national security adviser H.R. McMaster died last month at a Philadelphia nursing home after falling and hitting his head, authorities said.",https://img.huffingtonpost.com/asset/5af4a00d2000002e00b911e0.jpeg?cache=CwilM5Y8kT&ops=scalefit_720_noupscale,a bald man wearing a suit and tie,0.16226804,7.158224E-08,0.8310925,0.0066393744,"('neutral', ' 0.52%')","('neutral', ' 0.92%')","('neutral', ' 0.82%')","('contradiction', ' 0.75%')","('contradiction', ' 0.67%')","('contradiction', ' 0.67%')"
57,57,CRIME,"Girls, 10 and 11, Accused Of Plotting To Kill Classmate",David Lohr,https://www.huffingtonpost.com/entry/girls-10-and-11-accused-of-plotting-to-kill-classmate_us_5af47c94e4b04d3b2c9182a9,"""This is not something we commonly see,"" a cop said.",2018-05-10,,N,Two young girls are facing serious charges in Virginia after allegedly plotting via text messages to kill a classmate.,https://img.huffingtonpost.com/asset/5af47f0b1a00004300cde4f7.jpeg?cache=UOjND0MQ6s&ops=scalefit_720_noupscale,a woman sitting at a table using a cell phone,0.0037855108,2.6330143E-05,0.8904503,0.10573789,"('contradiction', ' 0.50%')","('contradiction', ' 0.51%')","('neutral', ' 0.94%')","('contradiction', ' 0.64%')","('contradiction', ' 0.55%')","('contradiction', ' 0.69%')"
58,58,WOMEN,Child Sexual Predator Roman Polanski Calls Me Too Movement 'Total Hypocrisy',Alanna Vagianos,https://www.huffingtonpost.com/entry/roman-polanski-me-too_us_5af2ed3ce4b00a3224ef4a6c,"The director argued that people are embracing Me Too ""chiefly out of fear.""",2018-05-09,,E,"Film director Roman Polanski during the Netia Off Camera film festival in Krakow, Poland, on May 2, 2018.",https://img.huffingtonpost.com/asset/5af2edfc1a00004400cde26c.jpeg?cache=PeECpCTakY&ops=crop_9_122_4563_2734%2Cscalefit_720_noupscale,an old man with gray hair wearing a suit,0.8554286,0.00014468661,0.14437477,5.2038475E-05,"('neutral', ' 0.51%')","('contradiction', ' 0.92%')","('contradiction', ' 0.61%')","('contradiction', ' 0.72%')","('contradiction', ' 0.76%')","('contradiction', ' 0.73%')"
59,59,ENTERTAINMENT,Pauley Perrette's Abby Has Heart-Wrenching Farewell On 'NCIS',Ron Dicker,https://www.huffingtonpost.com/entry/pauley-perrette-abby-farewell-ncis_us_5af2fd13e4b0a0d601e8d626,"Goodbye, goth genius.",2018-05-09,,E,"Clayton Reeves (Duane Henry), Timothy McGee (Sean Murray) and Abby Sciuto (Pauley Perrette) on ""NCIS.""",https://img.huffingtonpost.com/asset/5af302de1a00002700cde2ab.jpeg?cache=vbFdEBZ4Ud&ops=scalefit_720_noupscale,a man and a woman working in an office,0.5154948,5.88196E-09,0.48448613,1.9072417E-05,"('neutral', ' 0.77%')","('contradiction', ' 0.80%')","('contradiction', ' 0.44%')","('contradiction', ' 0.67%')","('contradiction', ' 0.55%')","('contradiction', ' 0.59%')"
60,60,ENTERTAINMENT,'Lethal Weapon' Fires Clayne Crawford And His Character Gets Shot,Ron Dicker,https://www.huffingtonpost.com/entry/lethal-weapon-fires-clayne-crawford_us_5af2ca47e4b0a0d601e8463a,"""You can't fire me on my day off!"" the actor cried on Twitter.",2018-05-09,,N,"Clayne Crawford's dismissal from ""Lethal Weapon"" has prompted producers to possibly find a replacement.",https://img.huffingtonpost.com/asset/5af2d2c61e00002c008e4ef3.jpeg?ops=scalefit_720_noupscale,a man sitting on a desk in an office,0.62325954,0.00013596709,0.3765824,2.2090007E-05,"('contradiction', ' 0.89%')","('neutral', ' 0.72%')","('neutral', ' 0.72%')","('contradiction', ' 0.79%')","('contradiction', ' 0.82%')","('contradiction', ' 0.73%')"
61,61,SPORTS,U.S. Olympic Committee Ignored Sexual Abuse Complaints Against Taekwondo Stars: Lawsuit,Hayley Miller,https://www.huffingtonpost.com/entry/us-olympic-committee-ignored-sexual-abuse-taekwondo-stars-lawsuit_us_5af1b675e4b0ab5c3d6a3b5b,Over 45 women have accused Jean and Steven Lopez of sexual misconduct.,2018-05-08,,E,"Taekwondo athlete Steven Lopez (left) poses with brother and coach Jean Lopez during the U.S. Olympic Team Media Summit on May 16, 2004. Both brothers have been accused of sexual misconduct.",https://img.huffingtonpost.com/asset/5af1b7461e000044008e4d35.jpeg?ops=crop_0_134_2755_1322%2Cscalefit_720_noupscale,two men are standing next to each other,1.4186692E-06,0.00193627,0.9772192,0.020843208,"('neutral', ' 0.59%')","('neutral', ' 0.92%')","('neutral', ' 0.84%')","('contradiction', ' 0.86%')","('contradiction', ' 0.77%')","('contradiction', ' 0.79%')"
62,62,CRIME,Police Hope To Use DNA To Catch The Zodiac Killer,David Lohr,https://www.huffingtonpost.com/entry/dna-zodiac-killer_us_5af0c840e4b0ab5c3d68bc90,"""We could finally have answers to one of the greatest whodunits of all time,"" a criminologist said.",2018-05-08,,E,San Francisco police had circulated this composite of the Zodiac Killer. At left is a drawing from witnesses in the slaying of a cabdriver. The amended drawing on the right was based on further questioning of witnesses.,https://img.huffingtonpost.com/asset/5af0562f1a00004300cdde20.jpeg?cache=MFyHUGe9FQ&ops=scalefit_720_noupscale,a wanted poster for a drawing of a man wearing glasses,0.022024747,1.7522629E-05,0.47997975,0.49797794,"('neutral', ' 0.87%')","('neutral', ' 0.80%')","('neutral', ' 0.88%')","('contradiction', ' 0.76%')","('contradiction', ' 0.62%')","('contradiction', ' 0.64%')"
63,63,ENTERTAINMENT,Lili Reinhart And Cole Sprouse Finally Make Couple Debut At Met Gala,Cole Delbyck,https://www.huffingtonpost.com/entry/lili-reinhart-and-cole-sprouse-make-it-red-carpet-official-at-met-gala_us_5af1aa80e4b0ab5c3d6a102c,"""RIVERDALE"" PROM.",2018-05-08,,E,Lili Reinhart and Cole Sprouse attend the Heavenly Bodies: Fashion & The Catholic Imagination Costume Institute Gala at the Metropolitan Museum of Art Monday night.,https://img.huffingtonpost.com/asset/5af1aad6200000f202b90d07.jpeg?cache=VSzNo1ObB7&ops=scalefit_720_noupscale,actors arrive at the premiere ofdocumentary film,0.68900543,8.536392E-06,0.31098586,1.4745525E-07,"('contradiction', ' 0.55%')","('contradiction', ' 0.70%')","('contradiction', ' 0.76%')","('contradiction', ' 0.72%')","('contradiction', ' 0.37%')","('contradiction', ' 0.74%')"
64,64,ENTERTAINMENT,The World's Strongest Man Is 'The Mountain' From 'Game Of Thrones' (Seriously),Jenna Amatulli,https://www.huffingtonpost.com/entry/the-worlds-strongest-man-is-the-mountain-from-game-of-thrones_us_5af09ca9e4b0c4f193256f00,The 29-year-old has been participating in the competition for years.,2018-05-07,,E,Hafþór Júlíus Björnsson lifts a concrete sphere during the Atlas Stones competition of the 2018 World's Strongest Man competition on Sunday.,https://img.huffingtonpost.com/asset/5af09f031e000044008e4b32.jpeg?ops=scalefit_720_noupscale,a man is standing on a pedestal holding a ball,0.021231415,3.4964846E-06,0.9787547,1.0390901E-05,"('neutral', ' 0.68%')","('neutral', ' 0.52%')","('neutral', ' 0.64%')","('contradiction', ' 0.67%')","('contradiction', ' 0.63%')","('contradiction', ' 0.70%')"
65,65,ENTERTAINMENT,A Sick Robin Williams Confessed On Set: 'I Don't Know How To Be Funny',Ron Dicker,https://www.huffingtonpost.com/entry/robin-williams-struggle-with-dementia_us_5af04f34e4b041fd2d28c1b1,New biography offers a glimpse into the comedian’s struggle with dementia.,2018-05-07,,N,"Robin Williams, accepting a comedy award in 2012. According to a new biography, he cried uncontrollably during filming of 2014’s “Night at the Museum: Secret of the Tomb.”",https://img.huffingtonpost.com/asset/5af05c20200000f202b90aeb.jpeg?cache=1xfIAgEjwK&ops=scalefit_720_noupscale,a man in a suit is holding a microphone,0.0006889468,0.007682962,0.98655987,0.0050683254,"('neutral', ' 0.58%')","('contradiction', ' 0.88%')","('contradiction', ' 0.83%')","('contradiction', ' 0.84%')","('contradiction', ' 0.60%')","('contradiction', ' 0.82%')"
